8 1762857925 2.000000 -1 2.000000 2.000000 0.000000
11 1762857925 1.000000 -1 1.000000 1.000000 0.000000
8 1762857930 4.000000 -1 4.000000 4.000000 0.000000
8 1762857935 6.000000 -1 6.000000 6.000000 0.000000
8 1762857940 5.000000 -1 5.000000 5.000000 0.000000
8 1762857945 4.000000 -1 4.000000 4.000000 0.000000
8 1762857950 5.000000 -1 5.000000 5.000000 0.000000
8 1762857955 5.000000 -1 5.000000 5.000000 0.000000
8 1762857960 5.000000 -1 5.000000 5.000000 0.000000
8 1762857965 5.000000 -1 5.000000 5.000000 0.000000
8 1762857970 5.000000 -1 5.000000 5.000000 0.000000
8 1762857975 6.000000 -1 6.000000 6.000000 0.000000
8 1762857980 5.000000 -1 5.000000 5.000000 0.000000
20 1762857985 1.000000 -1 1.000000 1.000000 0.000000
8 1762857985 3.000000 -1 3.000000 3.000000 0.000000
